month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
February,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
March,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
April,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
May,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
June,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
July,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
August,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
September,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
October,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
November,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
December,5086.545454545455,783.8181818181819,20.90909090909091,21.0,45.77818181818182,2.668181818181818
