year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,6141.0,873.0,34.0,32.0,0.55,3.67
2015,6450.0,852.0,26.0,30.0,0.4000000000000001,3.52
2016,6031.0,652.0,28.0,15.0,0.46,2.3
2017,5932.0,700.0,9.0,14.0,0.15,2.0
2018,6.0,755.0,30.0,20.0,500.0,2.65
2019,6447.0,1079.0,25.0,13.0,0.38999999999999996,1.2
2020,4266.0,590.0,20.0,7.0,0.47,1.19
2021,2018.0,322.0,5.0,9.0,0.25,2.7999999999999994
2022,5342.0,657.0,25.0,26.0,0.47,3.9599999999999995
2023,6873.0,1093.0,18.0,35.0,0.26,3.2000000000000006
2024,6446.0,1049.0,10.0,30.0,0.16,2.86
