target,rank,province,district,value
bronchitis_deaths,17,Southern,Hambantota,21.363636363636363
bronchitis_deaths,18,Southern,Matara,21.0
bronchitis_deaths,19,Eastern,Trincomalee,13.181818181818182
bronchitis_deaths,20,Eastern,Batticaloa,12.272727272727273
bronchitis_deaths,21,Northern,Vavuniya,9.454545454545455
bronchitis_deaths,22,North Western,Puttalam,9.272727272727273
bronchitis_deaths,23,Northern,Kilinochchi,3.6363636363636362
bronchitis_deaths,24,Northern,Mullaitivu,2.8181818181818183
bronchitis_deaths,25,Northern,Mannar,1.1818181818181819
asthma_cfr,1,North Western,Kurunegala,87.65272727272728
asthma_cfr,2,Uva,Badulla,52.79363636363637
asthma_cfr,3,Southern,Galle,45.97909090909091
asthma_cfr,4,Southern,Matara,45.77818181818182
asthma_cfr,5,Southern,Hambantota,28.314545454545453
asthma_cfr,6,Central,Nuwara Eliya,27.673636363636366
asthma_cfr,7,Western,Kalutara,16.11090909090909
asthma_cfr,8,Northern,Jaffna,10.335454545454546
asthma_cfr,9,Eastern,Batticaloa,4.608181818181818
asthma_cfr,10,Sabaragamuwa,Kegalle,0.7390909090909091
asthma_cfr,11,North Western,Puttalam,0.5945454545454546
asthma_cfr,12,Western,Colombo,0.5827272727272728
asthma_cfr,13,Central,Matale,0.4636363636363637
asthma_cfr,14,Central,Kandy,0.43727272727272726
asthma_cfr,15,Sabaragamuwa,Ratnapura,0.32181818181818184
asthma_cfr,16,North Central,Anuradhapura,0.2972727272727273
asthma_cfr,17,Eastern,Trincomalee,0.2581818181818182
asthma_cfr,18,North Central,Polonnaruwa,0.25545454545454543
asthma_cfr,19,Uva,Monaragala,0.19090909090909092
asthma_cfr,20,Western,Gampaha,0.17727272727272725
asthma_cfr,21,Northern,Mannar,0.13727272727272727
asthma_cfr,22,Northern,Mullaitivu,0.1190909090909091
asthma_cfr,23,Eastern,Ampara,0.08818181818181818
asthma_cfr,24,Northern,Vavuniya,0.08727272727272727
asthma_cfr,25,Northern,Kilinochchi,0.06909090909090909
bronchitis_cfr,1,Southern,Galle,1438.8636363636363
bronchitis_cfr,2,North Western,Kurunegala,1239.8081818181818
bronchitis_cfr,3,Western,Gampaha,1053.3500000000001
bronchitis_cfr,4,Central,Matale,466.5618181818182
bronchitis_cfr,5,Central,Nuwara Eliya,411.18636363636364
bronchitis_cfr,6,Sabaragamuwa,Kegalle,357.4290909090909
bronchitis_cfr,7,North Central,Anuradhapura,339.6454545454545
bronchitis_cfr,8,Western,Kalutara,247.45818181818183
bronchitis_cfr,9,Central,Kandy,244.54999999999998
bronchitis_cfr,10,Northern,Jaffna,9.08909090909091
bronchitis_cfr,11,North Western,Puttalam,5.473636363636364
bronchitis_cfr,12,Uva,Monaragala,4.242727272727272
bronchitis_cfr,13,North Central,Polonnaruwa,3.896363636363637
bronchitis_cfr,14,Western,Colombo,3.7972727272727274
bronchitis_cfr,15,Uva,Badulla,3.499090909090909
bronchitis_cfr,16,Southern,Hambantota,3.150909090909091
bronchitis_cfr,17,Sabaragamuwa,Ratnapura,2.940909090909091
bronchitis_cfr,18,Northern,Vavuniya,2.8572727272727274
bronchitis_cfr,19,Northern,Mullaitivu,2.6845454545454546
bronchitis_cfr,20,Southern,Matara,2.668181818181818
bronchitis_cfr,21,Eastern,Batticaloa,2.0236363636363635
bronchitis_cfr,22,Eastern,Trincomalee,1.6663636363636365
bronchitis_cfr,23,Eastern,Ampara,1.4445454545454546
bronchitis_cfr,24,Northern,Kilinochchi,0.9809090909090908
bronchitis_cfr,25,Northern,Mannar,0.9790909090909091
