province,district,target,yearly_slope,rank_worsening
Central,Nuwara Eliya,asthma_cfr,-2.71163636363614,21
Southern,Hambantota,asthma_cfr,-2.811545454545225,22
Southern,Galle,asthma_cfr,-4.5417272727269005,23
Southern,Matara,asthma_cfr,-4.561909090908718,24
Uva,Badulla,asthma_cfr,-10.916272727272773,25
Western,Gampaha,bronchitis_cfr,67.00772727272665,1
Northern,Mullaitivu,bronchitis_cfr,0.3219090909090657,2
Eastern,Batticaloa,bronchitis_cfr,0.24136363636363067,3
Northern,Vavuniya,bronchitis_cfr,0.09854545454545552,4
Southern,Hambantota,bronchitis_cfr,0.06545454545453765,5
Western,Colombo,bronchitis_cfr,0.026090909090911614,6
Eastern,Ampara,bronchitis_cfr,0.01800000000000098,7
Southern,Matara,bronchitis_cfr,-0.0019090909090914209,8
Uva,Monaragala,bronchitis_cfr,-0.05536363636364553,9
Uva,Badulla,bronchitis_cfr,-0.12100000000000204,10
Northern,Kilinochchi,bronchitis_cfr,-0.13345454545454707,11
North Central,Polonnaruwa,bronchitis_cfr,-0.1412727272727301,12
Sabaragamuwa,Ratnapura,bronchitis_cfr,-0.1728181818181861,13
Northern,Mannar,bronchitis_cfr,-0.17881818181817538,14
Eastern,Trincomalee,bronchitis_cfr,-0.19245454545454602,15
North Western,Puttalam,bronchitis_cfr,-1.6115454545454135,16
Northern,Jaffna,bronchitis_cfr,-2.71509090909084,17
Sabaragamuwa,Kegalle,bronchitis_cfr,-35.21363636363344,18
Central,Kandy,bronchitis_cfr,-72.41509090909298,19
Western,Kalutara,bronchitis_cfr,-73.50654545454755,20
Central,Nuwara Eliya,bronchitis_cfr,-80.74372727272728,21
Southern,Galle,bronchitis_cfr,-96.32036363636475,22
North Central,Anuradhapura,bronchitis_cfr,-100.8341818181847,23
Central,Matale,bronchitis_cfr,-138.8329090909131,24
North Western,Kurunegala,bronchitis_cfr,-223.47627272727104,25
