year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,8919.0,1969.0,15.0,23.0,0.17,1.17
2015,8472.0,2360.0,10.0,29.0,0.12,1.23
2016,6131.0,1876.0,5.0,26.0,0.08,1.39
2017,6266.0,2329.0,4.0,59.0,0.06,2.53
2018,8885.0,1955.0,7.0,28.0,0.08,1.43
2019,10400.0,2564.0,2.0,23.0,0.02,0.9
2020,3383.0,1105.0,5.0,10.0,0.15,0.9
2021,3924.0,990.0,2.0,17.0,0.05000000000000001,1.72
2022,8586.0,2332.0,7.0,32.0,0.08,1.37
2023,10328.0,2947.0,9.0,38.0,0.09000000000000001,1.29
2024,10771.0,1783.0,8.0,35.0,0.07,1.96
