month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
February,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
March,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
April,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
May,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
June,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
July,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
August,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
September,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
October,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
November,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
December,7824.090909090909,2019.090909090909,6.7272727272727275,29.09090909090909,0.08818181818181818,1.4445454545454544
