year,January,February,March,April,May,June,July,August,September,October,November,December
2014,5.99,22.94,197.18,482.47,50.88,72.16,97.16,78.19,21.68,0.0,0.0,0.0
2015,0.0,4.23,23.72,12.99,11.53,21.47,29.31,210.75,76.43,17.3,0.0,19.64
2016,5.87,35.82,98.34,213.1,55.9,8.99,28.17,132.39,79.79,91.35,0.0,0.0
2017,15.18,38.33,20.4,123.85,88.42,149.6,116.94,81.48,104.24,59.1,0.0,2.8
2018,33.05,62.92,163.71,443.9,43.68,27.61,145.29,229.87,113.45,0.0,2.68,0.0
2019,1.09,113.82,261.85,425.54,61.19,59.77,132.8,315.93,229.8,12.41,0.0,0.0
2020,5.95,126.34,183.64,153.55,27.96,40.29,69.63,236.46,44.04,35.45,14.15,0.0
2021,5.37,31.26,90.38,50.09,21.07,28.11,2.73,126.8,79.76,3.67,0.0,1.62
2022,0.0,14.01,41.97,45.02,47.51,11.06,37.14,20.62,81.58,19.84,5.91,0.0
2023,0.0,15.3,18.2,46.04,45.78,34.06,59.57,649.68,49.31,10.67,0.0,0.0
2024,0.0,34.38,28.31,13.47,25.84,2.18,3.13,53.37,385.18,2.18,0.0,0.0
