year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,9091.0,1688.0,32.0,57.0,0.3499999999999999,3.3800000000000003
2015,9393.0,1681.0,25.0,78.0,0.27,4.64
2016,6889.0,1.0,6.0,37.0,0.09000000000000001,3700.0
2017,6903.0,1602.0,39.0,49.0,0.56,3.06
2018,6680.0,1888.0,19.0,80.0,0.28,4.24
2019,7176.0,1766.0,21.0,68.0,0.29,3.85
2020,3958.0,1257.0,8.0,34.0,0.20000000000000004,2.7000000000000006
2021,2371.0,899.0,8.0,23.0,0.34,2.56
2022,4992.0,2040.0,21.0,91.0,0.42,4.46
2023,6020.0,2634.0,17.0,84.0,0.28,3.19
2024,6225.0,2465.0,12.0,99.0,0.19000000000000003,4.02
