month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
February,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
March,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
April,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
May,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
June,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
July,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
August,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
September,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
October,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
November,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
December,7026.545454545455,784.9090909090909,9.636363636363637,32.18181818181818,10.335454545454546,9.089090909090908
