district,target,feature,correlation,abs_correlation
Kandy,asthma_cfr,female_population_1k,-0.4464320109823171,0.4464320109823171
Kandy,asthma_cfr,total_population_1k,-0.44082584399680735,0.44082584399680735
Kandy,asthma_cfr,male_population_1k,-0.43460078275959657,0.43460078275959657
Kandy,asthma_cfr,no2_ug_m3,-0.2307934048988399,0.2307934048988399
Kandy,asthma_cfr,tc_loss_ha,-0.13024234398801643,0.13024234398801643
Kandy,asthma_cfr,brightness,0.08614047078679914,0.08614047078679914
Kandy,asthma_cfr,bright_t31,0.08559881041269028,0.08559881041269028
Kandy,asthma_cfr,frp_mean,0.06894907701373472,0.06894907701373472
Kandy,asthma_cfr,carbon_gross_emissions_yearly,-0.06155107889641675,0.06155107889641675
Kandy,asthma_cfr,vim_anomaly,-0.03940256130663815,0.03940256130663815
Kandy,asthma_cfr,pm2.5_ug_m3,0.03509294920262742,0.03509294920262742
Kandy,asthma_cfr,vim,-0.034692945297155324,0.034692945297155324
Kandy,asthma_cfr,so2_ug_m3,-0.011415337009871842,0.011415337009871842
Kandy,asthma_cfr,frp_total,-0.006677927267774116,0.006677927267774116
Kandy,asthma_cfr,vim_climatology,-0.004638176882074501,0.004638176882074501
Kandy,asthma_deaths,female_population_1k,-0.9033597679041576,0.9033597679041576
Kandy,asthma_deaths,total_population_1k,-0.9005396892937203,0.9005396892937203
Kandy,asthma_deaths,male_population_1k,-0.8971970251892101,0.8971970251892101
Kandy,asthma_deaths,no2_ug_m3,-0.3369964438715228,0.3369964438715228
Kandy,asthma_deaths,tc_loss_ha,-0.10274282574534198,0.10274282574534198
Kandy,asthma_deaths,vim_anomaly,-0.10230143906437776,0.10230143906437776
Kandy,asthma_deaths,vim,-0.08693662694373647,0.08693662694373647
Kandy,asthma_deaths,brightness,0.06342776912442202,0.06342776912442202
Kandy,asthma_deaths,bright_t31,0.06231824883206314,0.06231824883206314
Kandy,asthma_deaths,carbon_gross_emissions_yearly,-0.060605364001317726,0.060605364001317726
Kandy,asthma_deaths,frp_mean,0.060600928909005564,0.060600928909005564
Kandy,asthma_deaths,pm2.5_ug_m3,0.03654532394442349,0.03654532394442349
Kandy,asthma_deaths,so2_ug_m3,-0.02406141835885362,0.02406141835885362
Kandy,asthma_deaths,frp_total,0.006867687824983449,0.006867687824983449
Kandy,asthma_deaths,vim_climatology,-0.0030372643509557797,0.0030372643509557797
Kandy,asthma_live_discharges,male_population_1k,-0.77430416865768,0.77430416865768
Kandy,asthma_live_discharges,total_population_1k,-0.7731982364029314,0.7731982364029314
Kandy,asthma_live_discharges,female_population_1k,-0.7719582053712413,0.7719582053712413
Kandy,asthma_live_discharges,no2_ug_m3,-0.21825746759615086,0.21825746759615086
Kandy,asthma_live_discharges,vim_anomaly,-0.08250213806586529,0.08250213806586529
Kandy,asthma_live_discharges,tc_loss_ha,-0.08130886374084013,0.08130886374084013
Kandy,asthma_live_discharges,carbon_gross_emissions_yearly,-0.0785469067556797,0.0785469067556797
Kandy,asthma_live_discharges,vim,-0.07054930449835149,0.07054930449835149
Kandy,asthma_live_discharges,pm2.5_ug_m3,0.028739431987401434,0.028739431987401434
Kandy,asthma_live_discharges,so2_ug_m3,-0.026687135893062056,0.026687135893062056
Kandy,asthma_live_discharges,bright_t31,-0.00877416705595291,0.00877416705595291
Kandy,asthma_live_discharges,brightness,-0.008601259422084567,0.008601259422084567
Kandy,asthma_live_discharges,frp_mean,-0.0063493919009478305,0.0063493919009478305
Kandy,asthma_live_discharges,frp_total,-0.0015824676566134049,0.0015824676566134049
Kandy,asthma_live_discharges,vim_climatology,-0.0005260539673362804,0.0005260539673362804
Kandy,bronchitis_cfr,carbon_gross_emissions_yearly,0.49042506381943207,0.49042506381943207
Kandy,bronchitis_cfr,tc_loss_ha,0.4876519126299413,0.4876519126299413
Kandy,bronchitis_cfr,female_population_1k,-0.29927612946127236,0.29927612946127236
Kandy,bronchitis_cfr,total_population_1k,-0.2947454291589371,0.2947454291589371
Kandy,bronchitis_cfr,male_population_1k,-0.2897337062296254,0.2897337062296254
Kandy,bronchitis_cfr,no2_ug_m3,-0.16331722824487732,0.16331722824487732
Kandy,bronchitis_cfr,frp_total,0.1380556999203006,0.1380556999203006
Kandy,bronchitis_cfr,brightness,0.13489052885967254,0.13489052885967254
Kandy,bronchitis_cfr,bright_t31,0.1345453933041374,0.1345453933041374
Kandy,bronchitis_cfr,vim_anomaly,-0.0814577320900926,0.0814577320900926
Kandy,bronchitis_cfr,pm2.5_ug_m3,0.07909140590450091,0.07909140590450091
Kandy,bronchitis_cfr,frp_mean,0.06727760408741533,0.06727760408741533
Kandy,bronchitis_cfr,vim,-0.06325950452177682,0.06325950452177682
Kandy,bronchitis_cfr,so2_ug_m3,-0.01962418701467594,0.01962418701467594
Kandy,bronchitis_cfr,vim_climatology,0.00653446992730049,0.00653446992730049
Kandy,bronchitis_deaths,female_population_1k,-0.22394706886357033,0.22394706886357033
Kandy,bronchitis_deaths,total_population_1k,-0.22164983675390892,0.22164983675390892
Kandy,bronchitis_deaths,male_population_1k,-0.2190862364456382,0.2190862364456382
Kandy,bronchitis_deaths,pm2.5_ug_m3,0.10723396589507092,0.10723396589507092
Kandy,bronchitis_deaths,vim_anomaly,-0.105790078954519,0.105790078954519
Kandy,bronchitis_deaths,vim,-0.09063853523764269,0.09063853523764269
Kandy,bronchitis_deaths,frp_total,-0.07915079384047431,0.07915079384047431
Kandy,bronchitis_deaths,tc_loss_ha,-0.053707850162554346,0.053707850162554346
Kandy,bronchitis_deaths,carbon_gross_emissions_yearly,-0.036455090133044876,0.036455090133044876
Kandy,bronchitis_deaths,frp_mean,0.03472911833395494,0.03472911833395494
Kandy,bronchitis_deaths,bright_t31,-0.033404913048046665,0.033404913048046665
Kandy,bronchitis_deaths,brightness,-0.031250627433729666,0.031250627433729666
Kandy,bronchitis_deaths,no2_ug_m3,-0.022294778326246354,0.022294778326246354
Kandy,bronchitis_deaths,so2_ug_m3,0.014120205407883325,0.014120205407883325
Kandy,bronchitis_deaths,vim_climatology,-0.005605652318567942,0.005605652318567942
Kandy,bronchitis_live_discharges,carbon_gross_emissions_yearly,-0.44677029246801675,0.44677029246801675
Kandy,bronchitis_live_discharges,tc_loss_ha,-0.44563888037830474,0.44563888037830474
Kandy,bronchitis_live_discharges,frp_total,-0.13080126825878405,0.13080126825878405
Kandy,bronchitis_live_discharges,male_population_1k,-0.12359135877135348,0.12359135877135348
Kandy,bronchitis_live_discharges,brightness,-0.12087274800770229,0.12087274800770229
Kandy,bronchitis_live_discharges,bright_t31,-0.12037155932611947,0.12037155932611947
