year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,20.032273198333332,123.10833333333333,0.67428472225,972.0,1759.0,111.0,1.5356471240000003,0.9962086870000001
2015,15.947928777416665,70.17833333333333,0.7005625000000001,335.0,1598.0,128.0,1.68655511525,0.84742767975
2016,20.213839384166665,144.38833333333335,0.6861111110833334,983.0,1075.0,139.0,1.7254804118333331,1.0572717294166667
2017,20.14279916,115.23,0.6894444445,585.0,1367.0,103.0,1.9423742925,0.9839332234166666
2018,21.596251500833333,137.6775,0.6680138889166667,1014.0,1248.0,206.0,1.8923786333333332,1.008039523
2019,18.955423691666667,132.35166666666666,0.6600763889166666,636.0,1177.0,302.0,1.9194991256666667,0.7831008469166667
2020,17.651324810000002,127.39416666666666,0.6725138888333334,819.0,769.0,18.0,1.7954809631666668,0.90328828725
2021,19.097388779166668,66.2275,0.6801041666666666,818.0,577.0,79.0,1.8379901710833335,0.9904774092499999
2022,21.940729022499998,58.28583333333333,0.6824930555833334,458.0,960.0,347.0,1.9816464808333334,1.1194734334166667
2023,18.941485668333332,54.79749999999999,0.680875,418.0,970.0,214.0,1.9396110242500002,0.8799627575
2024,20.267058158333334,48.19916666666666,0.6833958333333333,676.0,675.0,218.0,1.9027501875833333,1.001670458
