year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,16979.0,2099.0,60.0,70.0,0.3499999999999999,3.33
2015,16984.0,1827.0,88.0,87.0,0.52,4.76
2016,14733.0,1.0,16.0,55.0,0.11,5500.0
2017,15338.0,1455.0,93.0,69.0,0.61,4.74
2018,14178.0,1.0,69.0,81.0,0.49,8100.0
2019,15075.0,1654.0,87.0,85.0,0.58,5.14
2020,8215.0,628.0,24.0,6.0,0.29,0.96
2021,5.0,611.0,48.0,35.0,960.0,5.73
2022,11198.0,1180.0,82.0,70.0,0.73,5.93
2023,14693.0,1756.0,33.0,69.0,0.22,3.93
2024,16498.0,2167.0,46.0,73.0,0.28,3.3699999999999997
