year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,15.498623843583333,722.9683333333332,0.6220833333333333,239.0,11347.0,853.0,6.332180174583333,1.659291339
2015,12.964945659166666,103.65000000000002,0.6929861111666668,62.0,12307.0,1100.0,7.260421628416666,1.5332212064166668
2016,16.7536586225,417.5683333333334,0.6492291666666666,552.0,10571.0,209.0,7.8798080368333325,1.7136123605833333
2017,17.163120974166667,224.72166666666666,0.66409722225,306.0,11032.0,1319.0,4.41563974825,1.7026384539166666
2018,17.1393560825,318.7558333333333,0.6713541666666667,288.0,11.0,1493.0,4.901572440333333,1.7963469864166666
2019,14.796129221166666,49.264166666666675,0.6445555555833333,115.0,10669.0,1168.0,4.375708668166667,1.4502852788333334
2020,14.996977346666666,197.8116666666667,0.6771111110833333,170.0,6089.0,535.0,4.475099482166667,1.6240438619166666
2021,15.681501849166667,214.04250000000002,0.6712291666666667,197.0,3626.0,294.0,4.53622663525,1.693167767
2022,17.70387325175,192.5525,0.6662569445000001,228.0,7947.0,666.0,4.77959191425,1.8876256233333333
2023,14.446991506583332,247.00750000000002,0.6744097221666667,199.0,9031.0,832.0,4.5435609975833335,1.5687681781666667
2024,16.4500048575,88.3825,0.6883958333333333,140.0,8511.0,752.0,4.6459935355,1.7207223999166665
