month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
February,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
March,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
April,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
May,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
June,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
July,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
August,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
September,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
October,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
November,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
December,14891.181818181818,1654.909090909091,24.0,81.0909090909091,0.17727272727272728,1053.3500000000001
