month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
February,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
March,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
April,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
May,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
June,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
July,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
August,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
September,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
October,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
November,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
December,8285.545454545454,838.2727272727273,24.181818181818183,21.363636363636363,28.314545454545453,3.1509090909090904
