year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,17.682460980583333,122.985,0.6199027778333334,276.0,3221.0,519.0,2.8258439180833332,0.8006859173333334
2015,14.040283471666667,92.91000000000001,0.6604236111666667,389.0,3591.0,820.0,3.225791136916667,0.7610720783333332
2016,18.2000940425,162.83833333333334,0.6404166666666666,245.0,3954.0,968.0,3.11892460825,0.842617953
2017,17.810644610833332,67.1375,0.6540347221666667,402.0,3551.0,1128.0,3.578149705,0.8164139036666667
2018,19.21571130166667,82.75500000000001,0.6400069444166666,431.0,3702.0,1249.0,3.6473986235000004,0.859732772
2019,16.79099326925,178.66583333333335,0.6197083333333333,493.0,4235.0,1243.0,3.8936730350833333,0.755503087
2020,15.702705843333334,200.28166666666664,0.6346041666666666,509.0,4232.0,819.0,3.625303919333333,0.7504672166666667
2021,17.176403551666667,23.40833333333333,0.6512013889166667,323.0,1138.0,287.0,3.7317303238333337,0.8196460525
2022,19.467188188333335,60.31083333333333,0.6550416666666666,233.0,2239.0,908.0,3.92328732975,0.9351808988333333
2023,16.378119723666668,92.80333333333334,0.6501388889166667,345.0,1744.0,770.0,3.9064704743333336,0.8234211345833334
2024,18.5140629575,102.99833333333333,0.6497638889166667,420.0,1387.0,492.0,3.878373515333333,0.8249051075833332
