year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,993.0,278.0,0.0,5.0,0.0,1.8
2015,1447.0,385.0,1.0,14.0,0.07,3.64
2016,1251.0,356.0,1.0,4.0,0.08,1.12
2017,1479.0,400.0,4.0,6.0,0.27,1.5
2018,1303.0,298.0,5.0,12.0,0.38000000000000006,4.03
2019,1286.0,335.0,1.0,15.0,0.08,4.48
2020,743.0,302.0,0.0,11.0,0.0,3.64
2021,745.0,232.0,0.0,5.0,0.0,2.16
2022,1305.0,428.0,1.0,11.0,0.08,2.57
2023,305.0,390.0,0.0,13.0,0.0,3.33
2024,115.0,253.0,0.0,8.0,0.0,3.16
