year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,3221.0,519.0,7.0,18.0,0.22,3.47
2015,3591.0,820.0,4.0,26.0,0.11,3.17
2016,3954.0,968.0,55.0,18.0,1.39,1.86
2017,3551.0,1128.0,1.0,17.0,0.03,1.51
2018,3702.0,1249.0,4.0,11.0,0.11,0.88
2019,4235.0,1243.0,4.0,14.0,0.09000000000000001,1.13
2020,4232.0,819.0,4.0,11.0,0.09000000000000001,1.34
2021,1138.0,287.0,2.0,4.0,0.18000000000000002,1.39
2022,2239.0,908.0,2.0,12.0,0.09000000000000001,1.32
2023,1744.0,770.0,3.0,8.0,0.17,1.04
2024,1387.0,492.0,5.0,6.0,0.36000000000000004,1.22
