month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
February,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
March,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
April,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
May,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
June,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
July,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
August,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
September,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
October,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
November,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
December,2999.4545454545455,836.6363636363636,8.272727272727273,13.181818181818182,0.2581818181818182,1.6663636363636363
