month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
February,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
March,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
April,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
May,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
June,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
July,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
August,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
September,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
October,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
November,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
December,10128.727272727272,1291.090909090909,32.72727272727273,35.63636363636363,0.32181818181818184,2.940909090909091
