year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,816.0,104.0,3.0,2.0,0.36999999999999994,1.92
2015,1212.0,335.0,1.0,6.0,0.08,1.79
2016,1285.0,508.0,0.0,8.0,0.0,1.57
2017,1207.0,582.0,0.0,8.0,0.0,1.37
2018,1360.0,362.0,1.0,2.0,0.07,0.55
2019,1519.0,390.0,2.0,2.0,0.13,0.51
2020,925.0,247.0,1.0,1.0,0.11,0.4000000000000001
2021,849.0,206.0,0.0,1.0,0.0,0.49
2022,1338.0,476.0,0.0,3.0,0.0,0.63
2023,1341.0,504.0,0.0,5.0,0.0,0.9899999999999999
2024,1114.0,352.0,0.0,2.0,0.0,0.57
