month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
February,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
March,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
April,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
May,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
June,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
July,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
August,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
September,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
October,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
November,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
December,1178.7272727272727,369.6363636363636,0.7272727272727273,3.6363636363636362,0.06909090909090909,0.980909090909091
