year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,17.929382364166667,1198.1666666666667,0.68077777775,1600.0,9091.0,1688.0,3.4905403456666666,1.05196937
2015,14.394852757416666,339.805,0.7028819445,999.0,9393.0,1681.0,4.004136649916666,1.0125124056666668
2016,18.5740033025,991.9666666666667,0.6926736110833334,2433.0,6889.0,1.0,3.72597023825,1.1261441673333332
2017,18.580722895833333,528.4391666666667,0.6984374999999999,652.0,6903.0,1602.0,4.3746799418333335,1.10093384725
2018,19.727153124166666,797.8816666666667,0.6832638889166667,1490.0,6680.0,1888.0,4.505953406833334,1.1653142805833332
2019,17.065770685416666,548.1416666666667,0.6828819444166667,975.0,7176.0,1766.0,4.672001108916667,1.00896388525
2020,16.037507289166665,631.5458333333333,0.6942916666666666,1201.0,3958.0,1257.0,4.292625194916666,1.0074867355833332
2021,17.44092832833333,292.3275,0.7023055555000001,1644.0,2371.0,899.0,4.462712857916666,1.0799530325833333
2022,19.832677309166666,344.5958333333333,0.6919861111666666,775.0,4992.0,2040.0,4.751853831166667,1.2480529675833334
2023,16.53232190375,625.9975000000001,0.6795208333333332,1333.0,6020.0,2634.0,4.670842290166667,1.0895213456666666
2024,18.352514901666666,324.22583333333336,0.6825763889166666,1835.0,6225.0,2465.0,4.760934520749999,1.0976413420833333
