year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,3963.0,2065.0,19.0,43.0,0.48,2.08
2015,3841.0,2630.0,21.0,52.0,0.55,1.9799999999999998
2016,3742.0,1.0,6.0,51.0,0.16,5100.0
2017,3411.0,2141.0,15.0,71.0,0.44,3.32
2018,3407.0,2622.0,18.0,74.0,0.53,2.82
2019,3995.0,2651.0,23.0,101.0,0.58,3.81
2020,2215.0,1501.0,11.0,42.0,0.5,2.7999999999999994
2021,1231.0,773.0,6.0,30.0,0.49,3.8800000000000003
2022,2774.0,1797.0,13.0,68.0,0.47,3.78
2023,2887.0,2448.0,12.0,105.0,0.42,4.29
2024,3126.0,2166.0,15.0,74.0,0.48,3.42
