year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,16.8538813275,13.1775,0.7200625,511.0,9325.0,2194.0,13.032891929083334,2.9429700390833333
2015,13.970699278666666,1.08,0.7240833333333333,472.0,9700.0,2168.0,14.330699382666666,2.8578981190833335
2016,17.79806292583333,4.975833333333333,0.7171319444166667,751.0,8795.0,1.0,13.740297044833333,2.9931714523333333
2017,18.3577764775,10.255,0.7081805554999999,856.0,9075.0,1975.0,15.333416094833334,2.9334043820000004
2018,18.967451904166666,5.985833333333333,0.7115416665833334,761.0,8.0,1971.0,16.630058175833334,3.267168263
2019,15.719792399333334,5.1866666666666665,0.7158194444166667,858.0,8241.0,2171.0,16.829726444083335,2.8596767036666666
2020,16.243030656666665,15.542499999999999,0.71065277775,699.0,4696.0,1172.0,16.630178661666665,3.008277898833333
2021,16.543115563333334,4.769166666666667,0.7135208333333334,867.0,2486.0,744.0,16.478603330083335,2.9234393121666664
2022,18.882380998333335,5.993333333333332,0.69291666675,609.0,7737.0,1437.0,16.244256201,3.121169019416667
2023,14.73384806175,1.5008333333333335,0.7043958333333333,485.0,8632.0,1681.0,17.141227537916667,2.84298137625
2024,17.674173556666666,1.7241666666666664,0.7168333333333333,633.0,8405.0,1602.0,17.056481781666665,3.051836562
