month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,10.402221437818183,23.903636363636362,0.7815227272727273,3010.818181818182,1919.4545454545455,16.51833451909091
February,11.241710437,69.72636363636364,0.7647954545454546,3010.818181818182,1919.4545454545455,15.151529384545455
March,14.121817655454544,94.00090909090909,0.7436818181818182,3010.818181818182,1919.4545454545455,15.95445594181818
April,13.635574056363636,13.05909090909091,0.7408257575454545,3010.818181818182,1919.4545454545455,16.116377096363635
May,13.721560883636363,1.2909090909090908,0.7387196970000001,3010.818181818182,1919.4545454545455,11.116311173181819
June,12.928115553636362,5.924545454545455,0.7255454545454545,3010.818181818182,1919.4545454545455,8.112900412636364
July,14.752980685454547,44.04454545454546,0.7096212120909091,3010.818181818182,1919.4545454545455,7.861112445
August,12.74850593090909,51.58545454545455,0.6860757575454546,3010.818181818182,1919.4545454545455,8.457562123636363
September,10.592117884363637,40.123636363636365,0.6733636363636364,3010.818181818182,1919.4545454545455,9.773114774272727
October,10.081677391727272,26.931818181818183,0.7208030302727273,3010.818181818182,1919.4545454545455,14.453723741818182
November,10.956925905545454,1.4290909090909092,0.7201060606363637,3010.818181818182,1919.4545454545455,17.489432330909093
December,9.178378124636364,2.444545454545455,0.7788636363636363,3010.818181818182,1919.4545454545455,17.237269541818183
