month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
February,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
March,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
April,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
May,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
June,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
July,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
August,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
September,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
October,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
November,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
December,1106.8181818181818,169.54545454545453,1.3636363636363635,2.8181818181818183,0.1190909090909091,2.6845454545454546
