year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,1759.0,111.0,2.0,1.0,0.11,0.9
2015,1598.0,128.0,1.0,3.0,0.06,2.34
2016,1075.0,139.0,4.0,0.0,0.36999999999999994,0.0
2017,1367.0,103.0,1.0,2.0,0.07,1.9400000000000002
2018,1248.0,206.0,1.0,0.0,0.08,0.0
2019,1177.0,302.0,3.0,1.0,0.25,0.33
2020,769.0,18.0,0.0,2.0,0.0,11.11
2021,577.0,79.0,1.0,4.0,0.17,5.06
2022,960.0,347.0,1.0,3.0,0.10000000000000002,0.86
2023,970.0,214.0,1.0,12.0,0.10000000000000002,5.61
2024,675.0,218.0,0.0,3.0,0.0,1.38
