month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,11.571510298181819,28.213636363636365,0.7838863636363637,8724.272727272728,4839.545454545455,12.695990998909092
February,12.52226751090909,65.66727272727272,0.7637045454545455,8724.272727272728,4839.545454545455,12.229172240909092
March,15.280420116363636,147.86363636363637,0.7357499999999999,8724.272727272728,4839.545454545455,14.171632597272726
April,14.529372813636364,15.316363636363635,0.7342500000909091,8724.272727272728,4839.545454545455,14.760706794545454
May,15.241723447272728,3.3572727272727274,0.7319015150909091,8724.272727272728,4839.545454545455,10.658051174272726
June,14.747011398181819,15.09909090909091,0.7434772727272727,8724.272727272728,4839.545454545455,7.8120184682727265
July,16.224211264545456,39.560909090909085,0.7362878787272727,8724.272727272728,4839.545454545455,7.57737081
August,14.283253078181817,53.60181818181818,0.7121287879090908,8724.272727272728,4839.545454545455,8.052005354545456
September,12.007295291272726,126.80636363636364,0.7039545454545455,8724.272727272728,4839.545454545455,9.492701388727273
October,11.184430484545455,30.33181818181818,0.7374469698181817,8724.272727272728,4839.545454545455,13.305994817272728
November,12.282101360727273,0.0,0.7440530303636362,8724.272727272728,4839.545454545455,14.948874726363636
December,10.564867098909092,3.6627272727272726,0.7777727272727273,8724.272727272728,4839.545454545455,13.76588978909091
