,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.3754750971334928,0.13932605713335194,-0.16305546487020814,-0.028037795689672254,0.25189963392916126,-0.017264644432759733,0.2558084750164352,-0.1508489836532406,-0.13888016940665351,-0.026087128987734638,-0.08299636139630628,0.14335672260456309,0.015369912517845719
no2_ug_m3,-0.3754750971334928,1.0,0.16539279407536844,0.44865177448446075,0.20973508115289624,-0.020567753673916316,0.19554005133731775,-0.011536143086476401,0.12939140305656618,-0.004718183284258821,0.28674129531972853,0.10004476202314838,-0.04703768066787122,0.1179524434617406
so2_ug_m3,0.13932605713335194,0.16539279407536844,1.0,0.30270168228871913,0.041464131858950475,0.1769341713128602,-0.05666345357873679,0.18427583630916966,-0.19395896505833468,-0.1463135195717011,0.03621921016263461,-0.003930269199353461,0.19840182201194997,0.12130738154938439
vim,-0.16305546487020814,0.44865177448446075,0.30270168228871913,1.0,0.6969676896699615,-0.018407937182122896,-0.1586569782120238,-0.01520125391875204,-0.001137959636152993,-0.035460435206104764,0.09301814615985385,0.0012549813002191298,-0.0008872715432954582,0.049132636278521075
vim_anomaly,-0.028037795689672254,0.20973508115289624,0.041464131858950475,0.6969676896699615,1.0,-0.02985942781811102,-0.05700218176352053,-0.025030843514743044,-0.0020265889468065704,-0.052451345158433284,0.13902217573304548,0.003043636559280997,-0.001040755677626741,0.07518464231253233
tc_loss_ha,0.25189963392916126,-0.020567753673916316,0.1769341713128602,-0.018407937182122896,-0.02985942781811102,1.0,0.1369147471818946,0.9991961279497477,-0.3434682500636106,-0.3372470963615307,-0.0551971187829626,-0.6753182251907905,0.3378429511636003,-0.5988687838233673
frp_total,-0.017264644432759733,0.19554005133731775,-0.05666345357873679,-0.1586569782120238,-0.05700218176352053,0.1369147471818946,1.0,0.13243794962390737,-0.07248655993031916,-0.0856309104542718,0.08990403657375759,-0.17418450517917497,0.03388225310711269,-0.17192204280339732
carbon_gross_emissions_yearly,0.2558084750164352,-0.011536143086476401,0.18427583630916966,-0.01520125391875204,-0.025030843514743044,0.9991961279497477,0.13243794962390737,1.0,-0.3458387358261365,-0.34647631705722975,-0.04644584305466064,-0.6602654631851056,0.3448973681442285,-0.5710710709063366
asthma_live_discharges,-0.1508489836532406,0.12939140305656618,-0.19395896505833468,-0.001137959636152993,-0.0020265889468065704,-0.3434682500636106,-0.07248655993031916,-0.3458387358261365,1.0,0.5824865864561597,0.035754213687804605,0.42974522980510443,-0.7736587229058837,0.08632355167691919
bronchitis_live_discharges,-0.13888016940665351,-0.004718183284258821,-0.1463135195717011,-0.035460435206104764,-0.052451345158433284,-0.3372470963615307,-0.0856309104542718,-0.34647631705722975,0.5824865864561597,1.0,0.2578780478401804,0.6360059667592635,-0.04056827793280042,0.043773303920059556
asthma_deaths,-0.026087128987734638,0.28674129531972853,0.03621921016263461,0.09301814615985385,0.13902217573304548,-0.0551971187829626,0.08990403657375759,-0.04644584305466064,0.035754213687804605,0.2578780478401804,1.0,0.2918218574219209,0.3209020068131362,0.19991325827254805
bronchitis_deaths,-0.08299636139630628,0.10004476202314838,-0.003930269199353461,0.0012549813002191298,0.003043636559280997,-0.6753182251907905,-0.17418450517917497,-0.6602654631851056,0.42974522980510443,0.6360059667592635,0.2918218574219209,1.0,-0.03325193546380167,0.7769869186025326
asthma_cfr,0.14335672260456309,-0.04703768066787122,0.19840182201194997,-0.0008872715432954582,-0.001040755677626741,0.3378429511636003,0.03388225310711269,0.3448973681442285,-0.7736587229058837,-0.04056827793280042,0.3209020068131362,-0.03325193546380167,1.0,-0.0063684672540711505
bronchitis_cfr,0.015369912517845719,0.1179524434617406,0.12130738154938439,0.049132636278521075,0.07518464231253233,-0.5988687838233673,-0.17192204280339732,-0.5710710709063366,0.08632355167691919,0.043773303920059556,0.19991325827254805,0.7769869186025326,-0.0063684672540711505,1.0
