month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,12.198901347272727,9.5,0.793969697,4868.818181818182,1610.5454545454545,16.86829147
February,13.099578252727271,27.34272727272727,0.7758863636363637,4868.818181818182,1610.5454545454545,16.249182895454545
March,16.13999429,21.348181818181818,0.7669318181818181,4868.818181818182,1610.5454545454545,17.29328455
April,15.503230034545455,2.3527272727272726,0.775749999909091,4868.818181818182,1610.5454545454545,16.775882571818183
May,16.418371388181818,0.09545454545454546,0.7619772727272728,4868.818181818182,1610.5454545454545,10.759312257454546
June,15.964413835454547,0.0,0.7662954545454546,4868.818181818182,1610.5454545454545,7.409649939545455
July,17.234139886363636,0.21454545454545454,0.7607954545454546,4868.818181818182,1610.5454545454545,7.163744538636364
August,15.100986469999999,0.9990909090909091,0.7203863636363637,4868.818181818182,1610.5454545454545,7.60741559390909
September,12.783344797181819,0.8545454545454546,0.7345227272727274,4868.818181818182,1610.5454545454545,9.167970333181819
October,12.076791309818184,3.502727272727273,0.7593030304545454,4868.818181818182,1610.5454545454545,14.50048180909091
November,13.403399946272726,0.0,0.7974090909090908,4868.818181818182,1610.5454545454545,18.289892847272725
December,11.528028671727272,0.2590909090909091,0.8175984848181819,4868.818181818182,1610.5454545454545,17.918417444545454
