year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,7221.0,1026.0,6.0,37.0,0.08,3.61
2015,8910.0,1182.0,12.0,44.0,0.13,3.72
2016,5949.0,360.0,17.0,36.0,0.29,10.0
2017,6412.0,1446.0,8.0,43.0,0.12,2.97
2018,5423.0,1411.0,10.0,32.0,0.18000000000000002,2.27
2019,4403.0,1387.0,7.0,36.0,0.16,2.6
2020,3505.0,870.0,9.0,25.0,0.26,2.8699999999999997
2021,2318.0,453.0,12.0,21.0,0.52,4.64
2022,4451.0,997.0,8.0,62.0,0.18000000000000002,6.22
2023,5450.0,1216.0,7.0,56.0,0.13,4.61
2024,5551.0,1647.0,3.0,52.0,0.05000000000000001,3.16
