year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,12389.0,3287.0,112.0,134.0,0.9,4.08
2015,11175.0,3010.0,88.0,139.0,0.79,4.62
2016,10895.0,3502.0,86.0,115.0,0.79,3.28
2017,13573.0,3715.0,82.0,15.0,0.6,0.4000000000000001
2018,14058.0,3547.0,88.0,178.0,0.63,5.02
2019,13613.0,3975.0,57.0,184.0,0.42,4.63
2020,6433.0,2128.0,18.0,68.0,0.28,3.2000000000000006
2021,3820.0,1820.0,21.0,98.0,0.55,5.38
2022,13870.0,3549.0,68.0,161.0,0.49,4.54
2023,12572.0,4520.0,46.0,148.0,0.36999999999999994,3.27
2024,9917.0,4033.0,59.0,135.0,0.59,3.35
