year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.0,3.68,248.65,325.49,14.29,622.78,2124.98,2039.32,743.96,21.44,8.58,0.0
2015,6.26,16.84,17.79,62.57,6.9,113.78,321.43,2514.58,442.75,28.19,0.0,0.0
2016,0.0,4.57,579.91,148.76,73.67,154.62,553.86,1331.41,2724.13,1085.43,0.0,0.0
2017,28.32,6.19,394.3,222.5,127.86,213.52,636.0,413.45,335.62,79.1,7.27,3.56
2018,9.18,25.32,47.65,49.86,2.06,127.54,459.58,878.15,1376.79,53.4,0.0,0.0
2019,8.28,0.0,524.23,686.16,311.68,664.3,791.33,829.45,557.39,6.61,0.0,0.0
2020,17.45,800.33,355.87,310.97,10.44,21.23,168.47,1443.78,216.87,409.55,40.19,0.81
2021,0.0,13.42,268.85,15.44,2.62,151.0,120.52,596.04,597.9,118.34,1.48,0.0
2022,12.69,0.0,16.19,5.28,230.97,311.38,436.56,531.23,594.42,123.33,6.96,0.0
2023,1.75,8.6,50.89,44.32,19.55,225.13,418.22,2207.04,310.13,0.0,0.0,0.0
2024,0.0,120.08,380.97,5.36,20.61,59.15,462.78,898.44,865.1,28.92,0.0,2.15
