year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,16.020308683083332,512.7641666666667,0.6453541666666667,330.0,8919.0,1969.0,4.638890560916667,0.9006919365833334
2015,13.493238630083333,294.2575,0.6718888889166666,162.0,8472.0,2360.0,4.9367923867500005,0.9058737855833333
2016,17.112278183333334,554.6966666666667,0.6390208333333333,535.0,6131.0,1876.0,4.99553013425,0.92266614525
2017,17.0176484375,205.64083333333335,0.6702708333333334,478.0,6266.0,2329.0,5.6443738738333336,0.981171899
2018,17.308927300833332,252.4608333333333,0.6672430555833334,523.0,8885.0,1955.0,5.936383035083334,0.9223667179166667
2019,16.09729444541667,364.95250000000004,0.6414791666666667,210.0,10400.0,2564.0,6.076017604333334,0.8168441578333333
2020,14.7350575875,316.33,0.6627152777499999,394.0,3383.0,1105.0,5.995603349333333,0.9305833588333333
2021,15.492950493333334,157.13416666666666,0.6823333333333333,159.0,3924.0,990.0,6.3348453585,0.9753480128333333
2022,17.713457668333334,189.08416666666665,0.66265972225,177.0,8586.0,2332.0,6.364385166166667,1.0597218750833333
2023,15.404828469,273.8025,0.6699930555833333,389.0,10328.0,2947.0,6.1916287749166665,0.9438640883333332
2024,16.903560625,236.96333333333334,0.6767083333333334,515.0,10771.0,1783.0,6.261004256166667,0.9454572598333333
