month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
February,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
March,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
April,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
May,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
June,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
July,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
August,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
September,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
October,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
November,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
December,4056.3636363636365,708.0909090909091,2.909090909090909,12.272727272727273,4.608181818181818,2.0236363636363635
